precinct,Steve Huerta,Fred A. Rangel,Ray Lopez,Coda Rayo-Garza,"Arthur ""Art"" Reyna"
1072,0,24,15,16,19
1088,5,11,10,10,6
2011,18,7,14,18,18
2012,19,10,7,9,5
2015,17,8,6,7,7
2016,1,1,12,8,2
2017,6,7,10,3,4
2019,7,12,17,9,13
2020,25,12,39,7,37
2021,21,19,20,20,37
2022,29,11,17,20,15
2023,21,18,38,27,49
2024,14,32,21,13,18
2029,3,3,3,5,3
2030,3,9,6,12,10
2032,3,2,4,6,0
2037,1,87,18,34,25
2040,31,52,43,56,35
2041,14,32,42,47,23
2042,16,14,15,5,15
2049,18,47,70,23,30
2050,22,40,41,20,26
2061,0,17,14,18,13
2066,5,143,43,46,66
2069,0,60,52,38,18
2071,3,1,3,4,2
2074,7,8,7,1,9
2076,1,65,25,16,24
2077,4,74,56,29,30
2079,1,2,1,3,1
2084,7,276,69,84,39
2086,5,104,37,52,32
2087,1,96,54,21,28
2089,5,1,0,0,0
2090,1,25,6,13,9
2099,3,62,11,20,27
2103,1,0,0,0,0
2108,2,74,24,26,12
2112,3,72,37,14,29
2126,2,27,6,9,5
2128,9,15,24,10,5
2130,2,43,16,18,16
2139,2,62,7,15,18
2140,2,18,11,8,19
2141,3,34,21,15,18
2143,2,86,49,31,60
2151,0,0,0,0,0
2157,0,0,0,0,0
2159,0,4,0,5,1
3003,1,6,0,1,1
3016,0,16,3,7,1
3023,4,80,15,48,21
3032,2,40,8,24,19
3037,1,115,34,31,22
3054,3,57,19,48,25
3127,6,53,17,55,19
3139,2,37,26,30,13
3147,8,67,26,44,39
3162,3,25,5,7,11
